Date	Open	High	Low	Close	Volume
1/3/2017	22.07	22.74	22.05	22.55	24962900
1/4/2017	22.67	22.84	22.25	22.36	20426800
1/5/2017	22.4	22.57	21.96	22.11	19759400
1/6/2017	22.27	22.28	21.98	22.04	17782200
1/9/2017	21.94	22.55	21.94	22.34	21537200
1/10/2017	22.36	22.69	22.3	22.48	20644300
1/11/2017	22.61	22.88	22.56	22.79	20907700
1/12/2017	22.46	22.48	21.7	22.31	27592300
1/13/2017	22.27	22.31	21.99	22.18	14025700
1/17/2017	21.88	22.07	21.58	21.74	20053800
1/18/2017	21.68	22.34	21.53	22.32	19493400
1/19/2017	21.5	22.3	21.49	21.71	31259000
1/20/2017	21.9	22.33	21.89	21.96	19978700
1/23/2017	21.96	22.31	21.74	21.89	16070300
1/24/2017	22.27	23.09	22.26	22.85	29461400
1/25/2017	23.4	23.98	23.19	23.56	31611800
1/26/2017	23.8	23.99	23.29	23.52	19379100
1/27/2017	23.53	24.1	23.45	23.97	18626100
1/30/2017	23.82	24.24	23.43	24.18	30508100
1/31/2017	23.95	24.15	23.68	24.11	22712500
2/1/2017	24.43	24.85	24.31	24.75	28728200
2/2/2017	24.53	25.31	24.46	24.79	45499700
2/3/2017	24.9	25.24	24.5	24.6	25054400
2/6/2017	24.53	24.73	24.21	24.34	18900000
2/7/2017	24.59	24.69	24.21	24.6	19879300
2/8/2017	24.25	24.38	23.91	24.21	21559200
2/9/2017	24.75	24.89	24.42	24.45	27887400
2/10/2017	24.71	24.76	23.9	24.05	28578400
2/13/2017	24.07	24.2	23.82	23.9	16876400
2/14/2017	23.36	23.37	22.68	23.12	60685200
2/15/2017	23.07	23.26	22.79	23.02	28215800
2/16/2017	23.04	23.34	22.85	22.98	23819800
2/17/2017	23.01	23.38	23.01	23.35	22108700
2/21/2017	23.62	23.98	23.58	23.77	20256300
2/22/2017	23.86	24.06	23.65	23.75	16013300
2/23/2017	23.92	23.97	23.23	23.48	20172900
2/24/2017	22.96	23.26	22.64	23.24	22019600
2/27/2017	23.36	23.77	23.15	23.76	17999800
2/28/2017	23.79	23.95	23.32	23.44	21447500
3/1/2017	24.16	24.58	24.07	24.55	27989300
3/2/2017	24.88	25.25	24.38	24.7	45941900
3/3/2017	25.2	25.68	24.98	25.57	37862400
3/6/2017	25.5	25.92	25.17	25.71	25527800
3/7/2017	25.56	25.75	25.28	25.64	20313000
3/8/2017	25.64	25.83	25.04	25.38	24921100
3/9/2017	25.23	25.49	24.85	25.15	21786600
3/10/2017	25.28	25.75	24.81	25.18	28919000
3/13/2017	25.39	25.82	25.29	25.7	23768200
3/14/2017	25.59	25.7	25.25	25.58	14587500
